phase,rating_attribute,rating_question,rating_question_details,rating_low,rating_high,stim_file,age,gender,stim_csv,trial_csv,RL_wrong_instruction,RL_wrong_instruction_n,feedback_txt_incorrect,RL_session_notice,session_name,number_str,practice_reps,condition,left_face,right_face,rewarded_resp,correct_face,reward_prob,pre_rating_scales_loop.thisRepN,pre_rating_scales_loop.thisTrialN,pre_rating_scales_loop.thisN,pre_rating_scales_loop.thisIndex,pre_rating_stims_loop.thisRepN,pre_rating_stims_loop.thisTrialN,pre_rating_stims_loop.thisN,pre_rating_stims_loop.thisIndex,session_loop.thisRepN,session_loop.thisTrialN,session_loop.thisN,session_loop.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,real_trials.thisRepN,real_trials.thisTrialN,real_trials.thisN,real_trials.thisIndex,post_rating_loop.thisRepN,post_rating_loop.thisTrialN,post_rating_loop.thisN,post_rating_loop.thisIndex,post_neutral_face_loop.thisRepN,post_neutral_face_loop.thisTrialN,post_neutral_face_loop.thisN,post_neutral_face_loop.thisIndex,pre_rating_scale.response,pre_rating_scale.rt,practice_response.keys,practice_response.corr,practice_response.rt,real_RL_response.keys,real_RL_response.corr,real_RL_response.rt,post_rating_scale.response,post_rating_scale.rt,participant,participant_gender,skip_practice,skip_ratings,date,expName,frameRate
rating,dominance,Hoe dominant vind jij dit gezicht?,Je beoordeelt dit op een schaal van ‘Helemaal niet dominant’ tot ‘Zeer dominant’.,Helemaal niet dominant,Zeer dominant,stims/neutral_stims/id-1378_gender-F_age-19.png,19,F,,,,,,,,,,,,,,,,0,0,0,4,0,0,0,48,,,,,,,,,,,,,,,,,,,,,-2,2.7,,,,,,,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
rating,dominance,Hoe dominant vind jij dit gezicht?,Je beoordeelt dit op een schaal van ‘Helemaal niet dominant’ tot ‘Zeer dominant’.,Helemaal niet dominant,Zeer dominant,stims/neutral_stims/id-1291_gender-F_age-24.png,24,F,,,,,,,,,,,,,,,,0,0,0,4,0,1,1,12,,,,,,,,,,,,,,,,,,,,,2,1.234,,,,,,,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
rating,dominance,Hoe dominant vind jij dit gezicht?,Je beoordeelt dit op een schaal van ‘Helemaal niet dominant’ tot ‘Zeer dominant’.,Helemaal niet dominant,Zeer dominant,stims/neutral_stims/id-1358_gender-F_age-32.png,32,F,,,,,,,,,,,,,,,,0,0,0,4,0,2,2,37,,,,,,,,,,,,,,,,,,,,,0,1.901,,,,,,,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
rating,dominance,Hoe dominant vind jij dit gezicht?,Je beoordeelt dit op een schaal van ‘Helemaal niet dominant’ tot ‘Zeer dominant’.,Helemaal niet dominant,Zeer dominant,stims/neutral_stims/id-1339_gender-F_age-30.png,30,F,,,,,,,,,,,,,,,,0,0,0,4,0,3,3,28,,,,,,,,,,,,,,,,,,,,,-2,1.168,,,,,,,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
rating,dominance,Hoe dominant vind jij dit gezicht?,Je beoordeelt dit op een schaal van ‘Helemaal niet dominant’ tot ‘Zeer dominant’.,Helemaal niet dominant,Zeer dominant,stims/neutral_stims/id-1302_gender-F_age-30.png,30,F,,,,,,,,,,,,,,,,0,0,0,4,0,4,4,18,,,,,,,,,,,,,,,,,,,,,-1,1.801,,,,,,,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
rating,dominance,Hoe dominant vind jij dit gezicht?,Je beoordeelt dit op een schaal van ‘Helemaal niet dominant’ tot ‘Zeer dominant’.,Helemaal niet dominant,Zeer dominant,stims/neutral_stims/id-1315_gender-M_age-16.png,16,M,,,,,,,,,,,,,,,,0,0,0,4,0,5,5,24,,,,,,,,,,,,,,,,,,,,,1,1.3,,,,,,,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
rating,dominance,Hoe dominant vind jij dit gezicht?,Je beoordeelt dit op een schaal van ‘Helemaal niet dominant’ tot ‘Zeer dominant’.,Helemaal niet dominant,Zeer dominant,stims/neutral_stims/id-1370_gender-M_age-19.png,19,M,,,,,,,,,,,,,,,,0,0,0,4,0,6,6,44,,,,,,,,,,,,,,,,,,,,,-2,1.268,,,,,,,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
rating,dominance,Hoe dominant vind jij dit gezicht?,Je beoordeelt dit op een schaal van ‘Helemaal niet dominant’ tot ‘Zeer dominant’.,Helemaal niet dominant,Zeer dominant,stims/neutral_stims/id-1360_gender-F_age-20.png,20,F,,,,,,,,,,,,,,,,0,0,0,4,0,7,7,38,,,,,,,,,,,,,,,,,,,,,0,1.401,,,,,,,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
rating,dominance,Hoe dominant vind jij dit gezicht?,Je beoordeelt dit op een schaal van ‘Helemaal niet dominant’ tot ‘Zeer dominant’.,Helemaal niet dominant,Zeer dominant,stims/neutral_stims/id-1279_gender-F_age-19.png,19,F,,,,,,,,,,,,,,,,0,0,0,4,0,8,8,7,,,,,,,,,,,,,,,,,,,,,-3,1.401,,,,,,,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
rating,dominance,Hoe dominant vind jij dit gezicht?,Je beoordeelt dit op een schaal van ‘Helemaal niet dominant’ tot ‘Zeer dominant’.,Helemaal niet dominant,Zeer dominant,stims/neutral_stims/id-1354_gender-F_age-23.png,23,F,,,,,,,,,,,,,,,,0,0,0,4,0,9,9,34,,,,,,,,,,,,,,,,,,,,,1,1.234,,,,,,,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
rating,dominance,Hoe dominant vind jij dit gezicht?,Je beoordeelt dit op een schaal van ‘Helemaal niet dominant’ tot ‘Zeer dominant’.,Helemaal niet dominant,Zeer dominant,stims/neutral_stims/id-1355_gender-F_age-19.png,19,F,,,,,,,,,,,,,,,,0,0,0,4,0,10,10,35,,,,,,,,,,,,,,,,,,,,,-2,1.234,,,,,,,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
rating,dominance,Hoe dominant vind jij dit gezicht?,Je beoordeelt dit op een schaal van ‘Helemaal niet dominant’ tot ‘Zeer dominant’.,Helemaal niet dominant,Zeer dominant,stims/neutral_stims/id-1266_gender-M_age-21.png,21,M,,,,,,,,,,,,,,,,0,0,0,4,0,11,11,2,,,,,,,,,,,,,,,,,,,,,-1,9.633,,,,,,,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
rating,dominance,Hoe dominant vind jij dit gezicht?,Je beoordeelt dit op een schaal van ‘Helemaal niet dominant’ tot ‘Zeer dominant’.,Helemaal niet dominant,Zeer dominant,stims/neutral_stims/id-1342_gender-M_age-19.png,19,M,,,,,,,,,,,,,,,,0,0,0,4,0,12,12,30,,,,,,,,,,,,,,,,,,,,,3,1.401,,,,,,,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
rating,dominance,Hoe dominant vind jij dit gezicht?,Je beoordeelt dit op een schaal van ‘Helemaal niet dominant’ tot ‘Zeer dominant’.,Helemaal niet dominant,Zeer dominant,stims/neutral_stims/id-1356_gender-F_age-20.png,20,F,,,,,,,,,,,,,,,,0,0,0,4,0,13,13,36,,,,,,,,,,,,,,,,,,,,,-2,2.635,,,,,,,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
rating,dominance,Hoe dominant vind jij dit gezicht?,Je beoordeelt dit op een schaal van ‘Helemaal niet dominant’ tot ‘Zeer dominant’.,Helemaal niet dominant,Zeer dominant,stims/neutral_stims/id-1269_gender-F_age-23.png,23,F,,,,,,,,,,,,,,,,0,0,0,4,0,14,14,3,,,,,,,,,,,,,,,,,,,,,1,1.168,,,,,,,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
rating,dominance,Hoe dominant vind jij dit gezicht?,Je beoordeelt dit op een schaal van ‘Helemaal niet dominant’ tot ‘Zeer dominant’.,Helemaal niet dominant,Zeer dominant,stims/neutral_stims/id-1341_gender-M_age-19.png,19,M,,,,,,,,,,,,,,,,0,0,0,4,0,15,15,29,,,,,,,,,,,,,,,,,,,,,-1,1.801,,,,,,,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
