reward_choice	left_face	right_face	correct_resp	RT	actual_resp	correct	session
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	2.0002446869621053	f	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	1.7336643689777702	f	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	j	1.73531223309692	j	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	1.2687064879573882	j	0.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	1.300174824078567	f	0.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	1.1669816509820519	f	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	1.1669500889256597	j	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	1.2335465649375692	j	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	j	2.03370928298682	f	0.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	1.4334787590196356	j	1.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	f	1.1336562680080533	j	0.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	1.5002886120928451	j	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	f	1.4355504469713196	j	0.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	f	1.5336386599810794	j	0.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	f	1.2000255070161074	f	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	1.533553628018126	f	1.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	1.0336180909071118	f	0.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	f	1.2336204149760306	j	0.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	1.2335904979845511	f	0.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	0.9335810620104894	f	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	j	0.7335776980035007	f	0.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	f	1.86698566400446	j	0.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	1.3336475640535357	f	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	j	0.735120614990592	f	0.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	1.4336949109565469	j	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	1.0004027220420542	f	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	1.6668625880265608	f	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	0.8004894480109215	f	0.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	f	1.3334726510802284	j	0.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	0.8670440169516951	j	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	2.0003390229539946	f	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	j	1.8334063109941783	f	0.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	1.565541310003027	f	0.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	0.7647593850269914	f	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	1.43372890597675	f	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	0.7349318059859797	j	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	1.2645079469075426	j	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	1.7682976550422609	f	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	f	1.6337596810190007	j	0.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	0.8337488769320771	j	0.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	f	1.0997942860703915	f	1.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	0.5336566189071164	f	0.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	j	1.6336796210380269	j	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	1.1336878519505262	f	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	0.4336394519777969	f	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	0.6668864989187568	f	1.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	f	1.2669551250291988	j	0.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	f	0.6679750870680436	j	0.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	0.4669690090231597	j	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	0.8668940310599282	f	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	0.8002323519904166	j	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	1.2669785580364987	f	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	j	0.8676874680677429	f	0.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	0.6669618720188737	f	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	j	1.3012928960379213	f	0.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	j	0.701575665967539	f	0.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	1.4003679900197312	j	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	0.9335269819712266	f	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	0.7669591370504351	j	1.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	1.1669573970139029	j	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	0.6660268410341814	j	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	j	1.167171371052973	j	1.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	f	1.100266876979731	f	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	0.6335798030486329	f	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	1.0007997319335118	f	0.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	0.4669438099954277	j	0.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	0.8668372409883887	f	0.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	1.0002949989866463	f	0.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	1.5005009659798816	f	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	1.8337394840782508	j	0.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	0.7669138479977846	f	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	1.0003214390017092	f	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	j	0.5670109969796613	f	0.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	0.8690815329318866	j	1.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	1.333557867910713	j	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	1.4668491379125044	f	0.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	1.33358545799274	j	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	1.3002233980223536	f	0.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	0.8671688949689269	f	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	0.5002996460534632	f	0.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	1.5002640340244398	f	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	j	0.6669659519102424	f	0.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	0.7003149619558826	f	1.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	f	1.7338594920001924	j	0.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	0.7670746109215543	j	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	j	0.6002597699407488	f	0.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	f	1.100255743949674	j	0.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	0.9337072399212047	j	0.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	1.3323921620612964	f	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	1.1669186089420691	j	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	1.2336550060426816	f	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	1.4002931580180302	j	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	1.267029702081345	f	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	1.33366483298596	j	1.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	1.2335835660342127	j	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	0.7002609800547361	f	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	j	1.0671081950422376	j	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	0.631690479000099	f	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	0.7669034519931301	j	1.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	1.433819590951316	j	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	0.6670082740020007	f	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	1.566993988933973	j	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	1.1669403919950128	j	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	0.8670597970485687	j	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	0.7668983188923448	f	1.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	f	1.2669965350069106	f	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	j	0.5670513240620494	f	0.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	2.1024173100013286	j	1.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	0.7669633700279519	j	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	0.6684889899333939	j	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	0.8002898079575971	f	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	1.3335613050730901	j	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	1.2335779850836843	f	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	j	0.5336452360497788	f	0.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	1.83359117503278	j	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	j	1.5669474829919636	j	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	0.7336911719758064	j	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	0.6669590469682589	f	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	0.5337416380643845	f	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	0.9650737249758096	j	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	0.6667478780727834	f	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	j	0.8655338779790327	j	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	j	1.567066047922708	f	0.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	0.7993033280363306	j	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	0.9332840950228274	j	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	0.6001781669910997	f	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	0.6337026139954105	f	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	f	0.6683408609824255	j	0.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	0.6669196730945259	f	1.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	0.8336589209502563	j	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	0.6337853419827297	f	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	1.235144420992583	f	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	1.2335299799451604	j	1.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	1.0669310740195217	j	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	0.6003564350539818	f	1.0	plusneu
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	0.9001478559803218	f	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	2.1670326029416174	j	0.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	f	0.833647957071662	j	0.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	f	1.300565843936056	j	0.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	0.8669764139922336	j	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	1.033449137932621	j	1.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	1.1003123980481178	j	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	0.9015201419824734	j	0.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	f	0.7316325689898804	j	0.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	j	0.9352715199347584	f	0.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	0.7336220699362457	j	0.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	0.6336895569693297	j	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	0.700372904073447	f	1.0	plusneu
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	j	1.3670334130292758	j	1.0	plusneu
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	1.4336140679661185	j	1.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	f	0.8003061800263822	j	0.0	plusneu
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	0.4334860489470884	j	1.0	plusneu
