reward_choice	left_face	right_face	rewarded_resp	RT	actual_resp	rewarded	session	correct_resp	correct
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	2.000244687	f	1.0	plusneu	f	1
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	1.733664369	f	1.0	plusneu	f	1
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	j	1.7353122330000001	j	1.0	plusneu	f	0
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	1.268706488	j	0.0	plusneu	f	0
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	1.300174824	f	0.0	plusneu	j	0
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	1.166981651	f	1.0	plusneu	f	1
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	1.166950089	j	1.0	plusneu	j	1
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	1.233546565	j	1.0	plusneu	j	1
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	j	2.0337092830000003	f	0.0	plusneu	f	1
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	1.433478759	j	1.0	plusneu	j	1
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	f	1.133656268	j	0.0	plusneu	j	1
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	1.5002886119999999	j	1.0	plusneu	j	1
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	f	1.4355504469999998	j	0.0	plusneu	j	1
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	f	1.53363866	j	0.0	plusneu	j	1
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	f	1.200025507	f	1.0	plusneu	j	0
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	1.5335536280000002	f	1.0	plusneu	f	1
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	1.033618091	f	0.0	plusneu	j	0
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	f	1.233620415	j	0.0	plusneu	j	1
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	1.2335904979999999	f	0.0	plusneu	j	0
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	0.933581062	f	1.0	plusneu	f	1
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	j	0.733577698	f	0.0	plusneu	f	1
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	f	1.866985664	j	0.0	plusneu	j	1
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	1.333647564	f	1.0	plusneu	f	1
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	j	0.735120615	f	0.0	plusneu	f	1
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	1.433694911	j	1.0	plusneu	j	1
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	1.000402722	f	1.0	plusneu	f	1
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	1.666862588	f	1.0	plusneu	f	1
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	0.800489448	f	0.0	plusneu	j	0
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	f	1.333472651	j	0.0	plusneu	j	1
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	0.867044017	j	1.0	plusneu	j	1
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	2.000339023	f	1.0	plusneu	f	1
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	j	1.8334063109999998	f	0.0	plusneu	f	1
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	j	1.56554131	f	0.0	plusneu	j	0
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	0.764759385	f	1.0	plusneu	f	1
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	1.433728906	f	1.0	plusneu	f	1
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	0.734931806	j	1.0	plusneu	j	1
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	j	1.264507947	j	1.0	plusneu	j	1
64_vs_36	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	f	1.768297655	f	1.0	plusneu	f	1
80_vs_20	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	f	1.633759681	j	0.0	plusneu	j	1
80_vs_20	id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png	id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png	f	0.833748877	j	0.0	plusneu	f	0
64_vs_36	id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png	id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png	f	1.0997942859999998	f	1.0	plusneu	j	0
