phase,condition,left_face,right_face,rewarded_resp,correct_resp
learning,80_vs_20,rewardprob-80,rewardprob-20,f,f
learning,80_vs_20,rewardprob-80,rewardprob-20,f,f
learning,80_vs_20,rewardprob-80,rewardprob-20,f,f
learning,80_vs_20,rewardprob-80,rewardprob-20,f,f
learning,80_vs_20,rewardprob-80,rewardprob-20,f,f
learning,80_vs_20,rewardprob-80,rewardprob-20,f,f
learning,80_vs_20,rewardprob-80,rewardprob-20,f,f
learning,80_vs_20,rewardprob-80,rewardprob-20,f,f
learning,80_vs_20,rewardprob-80,rewardprob-20,f,f
learning,80_vs_20,rewardprob-80,rewardprob-20,f,f
learning,80_vs_20,rewardprob-80,rewardprob-20,f,f
learning,80_vs_20,rewardprob-80,rewardprob-20,f,f
learning,80_vs_20,rewardprob-80,rewardprob-20,f,f
learning,80_vs_20,rewardprob-80,rewardprob-20,f,f
learning,80_vs_20,rewardprob-80,rewardprob-20,f,f
learning,80_vs_20,rewardprob-80,rewardprob-20,f,f
learning,80_vs_20,rewardprob-80,rewardprob-20,f,f
learning,80_vs_20,rewardprob-80,rewardprob-20,f,f
learning,80_vs_20,rewardprob-80,rewardprob-20,f,f
learning,80_vs_20,rewardprob-80,rewardprob-20,f,f
learning,80_vs_20,rewardprob-80,rewardprob-20,j,f
learning,80_vs_20,rewardprob-80,rewardprob-20,j,f
learning,80_vs_20,rewardprob-80,rewardprob-20,j,f
learning,80_vs_20,rewardprob-80,rewardprob-20,j,f
learning,80_vs_20,rewardprob-80,rewardprob-20,j,f
learning,80_vs_20,rewardprob-20,rewardprob-80,f,j
learning,80_vs_20,rewardprob-20,rewardprob-80,f,j
learning,80_vs_20,rewardprob-20,rewardprob-80,f,j
learning,80_vs_20,rewardprob-20,rewardprob-80,f,j
learning,80_vs_20,rewardprob-20,rewardprob-80,f,j
learning,80_vs_20,rewardprob-20,rewardprob-80,j,j
learning,80_vs_20,rewardprob-20,rewardprob-80,j,j
learning,80_vs_20,rewardprob-20,rewardprob-80,j,j
learning,80_vs_20,rewardprob-20,rewardprob-80,j,j
learning,80_vs_20,rewardprob-20,rewardprob-80,j,j
learning,80_vs_20,rewardprob-20,rewardprob-80,j,j
learning,80_vs_20,rewardprob-20,rewardprob-80,j,j
learning,80_vs_20,rewardprob-20,rewardprob-80,j,j
learning,80_vs_20,rewardprob-20,rewardprob-80,j,j
learning,80_vs_20,rewardprob-20,rewardprob-80,j,j
learning,80_vs_20,rewardprob-20,rewardprob-80,j,j
learning,80_vs_20,rewardprob-20,rewardprob-80,j,j
learning,80_vs_20,rewardprob-20,rewardprob-80,j,j
learning,80_vs_20,rewardprob-20,rewardprob-80,j,j
learning,80_vs_20,rewardprob-20,rewardprob-80,j,j
learning,80_vs_20,rewardprob-20,rewardprob-80,j,j
learning,80_vs_20,rewardprob-20,rewardprob-80,j,j
learning,80_vs_20,rewardprob-20,rewardprob-80,j,j
learning,80_vs_20,rewardprob-20,rewardprob-80,j,j
learning,80_vs_20,rewardprob-20,rewardprob-80,j,j
learning,64_vs_36,rewardprob-64,rewardprob-36,f,f
learning,64_vs_36,rewardprob-64,rewardprob-36,f,f
learning,64_vs_36,rewardprob-64,rewardprob-36,f,f
learning,64_vs_36,rewardprob-64,rewardprob-36,f,f
learning,64_vs_36,rewardprob-64,rewardprob-36,f,f
learning,64_vs_36,rewardprob-64,rewardprob-36,f,f
learning,64_vs_36,rewardprob-64,rewardprob-36,f,f
learning,64_vs_36,rewardprob-64,rewardprob-36,f,f
learning,64_vs_36,rewardprob-64,rewardprob-36,f,f
learning,64_vs_36,rewardprob-64,rewardprob-36,f,f
learning,64_vs_36,rewardprob-64,rewardprob-36,f,f
learning,64_vs_36,rewardprob-64,rewardprob-36,f,f
learning,64_vs_36,rewardprob-64,rewardprob-36,f,f
learning,64_vs_36,rewardprob-64,rewardprob-36,f,f
learning,64_vs_36,rewardprob-64,rewardprob-36,f,f
learning,64_vs_36,rewardprob-64,rewardprob-36,f,f
learning,64_vs_36,rewardprob-64,rewardprob-36,j,f
learning,64_vs_36,rewardprob-64,rewardprob-36,j,f
learning,64_vs_36,rewardprob-64,rewardprob-36,j,f
learning,64_vs_36,rewardprob-64,rewardprob-36,j,f
learning,64_vs_36,rewardprob-64,rewardprob-36,j,f
learning,64_vs_36,rewardprob-64,rewardprob-36,j,f
learning,64_vs_36,rewardprob-64,rewardprob-36,j,f
learning,64_vs_36,rewardprob-64,rewardprob-36,j,f
learning,64_vs_36,rewardprob-64,rewardprob-36,j,f
learning,64_vs_36,rewardprob-36,rewardprob-64,f,j
learning,64_vs_36,rewardprob-36,rewardprob-64,f,j
learning,64_vs_36,rewardprob-36,rewardprob-64,f,j
learning,64_vs_36,rewardprob-36,rewardprob-64,f,j
learning,64_vs_36,rewardprob-36,rewardprob-64,f,j
learning,64_vs_36,rewardprob-36,rewardprob-64,f,j
learning,64_vs_36,rewardprob-36,rewardprob-64,f,j
learning,64_vs_36,rewardprob-36,rewardprob-64,f,j
learning,64_vs_36,rewardprob-36,rewardprob-64,f,j
learning,64_vs_36,rewardprob-36,rewardprob-64,j,j
learning,64_vs_36,rewardprob-36,rewardprob-64,j,j
learning,64_vs_36,rewardprob-36,rewardprob-64,j,j
learning,64_vs_36,rewardprob-36,rewardprob-64,j,j
learning,64_vs_36,rewardprob-36,rewardprob-64,j,j
learning,64_vs_36,rewardprob-36,rewardprob-64,j,j
learning,64_vs_36,rewardprob-36,rewardprob-64,j,j
learning,64_vs_36,rewardprob-36,rewardprob-64,j,j
learning,64_vs_36,rewardprob-36,rewardprob-64,j,j
learning,64_vs_36,rewardprob-36,rewardprob-64,j,j
learning,64_vs_36,rewardprob-36,rewardprob-64,j,j
learning,64_vs_36,rewardprob-36,rewardprob-64,j,j
learning,64_vs_36,rewardprob-36,rewardprob-64,j,j
learning,64_vs_36,rewardprob-36,rewardprob-64,j,j
learning,64_vs_36,rewardprob-36,rewardprob-64,j,j
learning,64_vs_36,rewardprob-36,rewardprob-64,j,j
