phase,rating_attribute,rating_question,rating_question_details,rating_low,rating_high,stim_file,age,gender,pre_rating_scales_loop.thisRepN,pre_rating_scales_loop.thisTrialN,pre_rating_scales_loop.thisN,pre_rating_scales_loop.thisIndex,pre_rating_stims_loop.thisRepN,pre_rating_stims_loop.thisTrialN,pre_rating_stims_loop.thisN,pre_rating_stims_loop.thisIndex,pre_rating_scale.response,pre_rating_scale.rt,participant,participant_gender,skip_practice,skip_ratings,date,expName,frameRate,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1339_gender-F_age-30.png,30,F,0,0,0,1,0,0,0,28,-1,6.251,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1362_gender-F_age-24.png,24,F,0,0,0,1,0,1,1,40,0,7.127,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1274_gender-F_age-33.png,33,F,0,0,0,1,0,2,2,6,-2,2.801,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1290_gender-F_age-23.png,23,F,0,0,0,1,0,3,3,11,-1,5.51,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1306_gender-F_age-21.png,21,F,0,0,0,1,0,4,4,19,0,5.068,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1345_gender-M_age-18.png,18,M,0,0,0,1,0,5,5,32,0,1.468,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1376_gender-F_age-19.png,19,F,0,0,0,1,0,6,6,46,2,5.852,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1367_gender-M_age-20.png,20,M,0,0,0,1,0,7,7,43,1,5.801,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1302_gender-F_age-30.png,30,F,0,0,0,1,0,8,8,18,1,3.26,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1260_gender-F_age-22.png,22,F,0,0,0,1,0,9,9,0,0,4.068,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1360_gender-F_age-20.png,20,F,0,0,0,1,0,10,10,38,1,2.493,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1323_gender-F_age-23.png,23,F,0,0,0,1,0,11,11,26,1,2.051,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1380_gender-F_age-21.png,21,F,0,0,0,1,0,12,12,49,1,2.818,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1355_gender-F_age-19.png,19,F,0,0,0,1,0,13,13,35,-1,5.918,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1310_gender-F_age-28.png,28,F,0,0,0,1,0,14,14,22,-1,2.184,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1341_gender-M_age-19.png,19,M,0,0,0,1,0,15,15,29,0,6.627,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1377_gender-M_age-20.png,20,M,0,0,0,1,0,16,16,47,0,4.693,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1279_gender-F_age-19.png,19,F,0,0,0,1,0,17,17,7,1,5.718,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1344_gender-M_age-25.png,25,M,0,0,0,1,0,18,18,31,-1,3.568,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1354_gender-F_age-23.png,23,F,0,0,0,1,0,19,19,34,-1,5.135,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1358_gender-F_age-32.png,32,F,0,0,0,1,0,20,20,37,0,2.793,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1294_gender-F_age-26.png,26,F,0,0,0,1,0,21,21,14,-1,6.31,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1295_gender-F_age-26.png,26,F,0,0,0,1,0,22,22,15,-2,4.993,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1370_gender-M_age-19.png,19,M,0,0,0,1,0,23,23,44,2,2.893,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
