phase,rating_attribute,rating_question,rating_question_details,rating_low,rating_high,stim_file,age,gender,RL_session_notice,RL_wrong_instruction,RL_wrong_instruction_n,feedback_txt_incorrect,number_str,practice_reps,session_name,stim_csv,trial_csv,condition,left_face,right_face,rewarded_resp,correct_resp,reward_prob,pre_rating_scales_loop.thisRepN,pre_rating_scales_loop.thisTrialN,pre_rating_scales_loop.thisN,pre_rating_scales_loop.thisIndex,pre_rating_stims_loop.thisRepN,pre_rating_stims_loop.thisTrialN,pre_rating_stims_loop.thisN,pre_rating_stims_loop.thisIndex,session_loop.thisRepN,session_loop.thisTrialN,session_loop.thisN,session_loop.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,real_trials.thisRepN,real_trials.thisTrialN,real_trials.thisN,real_trials.thisIndex,post_rating_loop.thisRepN,post_rating_loop.thisTrialN,post_rating_loop.thisN,post_rating_loop.thisIndex,post_neutral_face_loop.thisRepN,post_neutral_face_loop.thisTrialN,post_neutral_face_loop.thisN,post_neutral_face_loop.thisIndex,pre_rating_scale.response,pre_rating_scale.rt,practice_response.keys,practice_response.corr,practice_response.rt,real_RL_response.keys,real_RL_response.corr,real_RL_response.rt,post_rating_scale.response,post_rating_scale.rt,participant,participant_gender,skip_practice,skip_ratings,date,expName,frameRate,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1367_gender-M_age-20.png,20,M,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,43,,,,,,,,,,,,,,,,,,,,,-1,3.943,,,,,,,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1315_gender-M_age-16.png,16,M,,,,,,,,,,,,,,,,0,0,0,1,0,1,1,24,,,,,,,,,,,,,,,,,,,,,-1,2.009,,,,,,,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1360_gender-F_age-20.png,20,F,,,,,,,,,,,,,,,,0,0,0,1,0,2,2,38,,,,,,,,,,,,,,,,,,,,,0,2.259,,,,,,,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1306_gender-F_age-21.png,21,F,,,,,,,,,,,,,,,,0,0,0,1,0,3,3,19,,,,,,,,,,,,,,,,,,,,,0,1.493,,,,,,,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1311_gender-F_age-22.png,22,F,,,,,,,,,,,,,,,,0,0,0,1,0,4,4,23,,,,,,,,,,,,,,,,,,,,,1,1.284,,,,,,,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1280_gender-M_age-18.png,18,M,,,,,,,,,,,,,,,,0,0,0,1,0,5,5,8,,,,,,,,,,,,,,,,,,,,,-2,2.751,,,,,,,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1378_gender-F_age-19.png,19,F,,,,,,,,,,,,,,,,0,0,0,1,0,6,6,48,,,,,,,,,,,,,,,,,,,,,1,8.719,,,,,,,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1260_gender-F_age-22.png,22,F,,,,,,,,,,,,,,,,0,0,0,1,0,7,7,0,,,,,,,,,,,,,,,,,,,,,0,1.984,,,,,,,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1307_gender-F_age-22.png,22,F,,,,,,,,,,,,,,,,0,0,0,1,0,8,8,20,,,,,,,,,,,,,,,,,,,,,0,1.868,,,,,,,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1291_gender-F_age-24.png,24,F,,,,,,,,,,,,,,,,0,0,0,1,0,9,9,12,,,,,,,,,,,,,,,,,,,,,0,1.618,,,,,,,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
