phase,condition,left_face,right_face,rewarded_resp,correct_resp
learning,80_vs_20,logs\sub-99\id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png,logs\sub-99\id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-99\id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png,logs\sub-99\id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-99\id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png,logs\sub-99\id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-99\id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png,logs\sub-99\id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-99\id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png,logs\sub-99\id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-99\id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png,logs\sub-99\id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-99\id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png,logs\sub-99\id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-99\id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png,logs\sub-99\id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-99\id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png,logs\sub-99\id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-99\id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png,logs\sub-99\id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-99\id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png,logs\sub-99\id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-99\id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png,logs\sub-99\id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-99\id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png,logs\sub-99\id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png,f,f
